animal,neuron_id,region6,region9,region_raw,ei
night6,52,PVH,PVH,paraventricular hypothalamus,I
night6,53,PVH,PVH,paraventricular hypothalamus,I
night6,54,PVH,PVH,paraventricular hypothalamus,I
night7,1,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night7,2,PH,PH,posterior hypothalamus,E
night7,3,DMH,DMH,dorsomedial hypothalamus,E
night7,4,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night7,5,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night7,6,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night7,7,DMH,DMH,dorsomedial hypothalamus,E
night7,8,DMH,DMH,dorsomedial hypothalamus,E
night7,9,VMH,Ventromedial HT,ventromedial hypothalamus,E
night7,10,DMH,DMH,dorsomedial hypothalamus,E
night7,11,PH,PH,posterior hypothalamus,E
night7,12,PH,PH,posterior hypothalamus,E
night7,13,PH,PH,posterior hypothalamus,E
night7,14,PH,PH,posterior hypothalamus,I
night7,15,PH,PH,posterior hypothalamus,E
night7,16,PH,PH,posterior hypothalamus,I
night7,17,PH,PH,posterior hypothalamus,I
night7,18,PH,PH,posterior hypothalamus,I
night7,19,DMH,DMH,dorsomedial hypothalamus,I
night7,20,DMH,DMH,dorsomedial hypothalamus,I
night7,21,PH,PH,posterior hypothalamus,I
night7,22,PH,PH,posterior hypothalamus,E
night7,23,PH,PH,posterior hypothalamus,I
night7,24,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night7,25,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night7,26,PH,PH,posterior hypothalamus,E
night7,27,DMH,DMH,dorsomedial hypothalamus,E
night7,28,DMH,DMH,dorsomedial hypothalamus,I
night7,29,DMH,DMH,dorsomedial hypothalamus,I
night7,30,DMH,DMH,dorsomedial hypothalamus,I
night7,31,DMH,DMH,dorsomedial hypothalamus,E
night7,32,ARH,ARH,arcuate hypothalamus,I
night7,33,ARH,ARH,arcuate hypothalamus,I
night7,34,ARH,ARH,arcuate hypothalamus,I
night7,35,ARH,ARH,arcuate hypothalamus,I
night7,36,ARH,ARH,arcuate hypothalamus,I
night7,37,ARH,ARH,arcuate hypothalamus,E
night7,38,ARH,ARH,arcuate hypothalamus,E
night7,39,ARH,ARH,arcuate hypothalamus,I
night7,40,PH,PH,posterior hypothalamus,I
night7,41,ARH,ARH,arcuate hypothalamus,E
night7,42,PH,PH,posterior hypothalamus,E
night7,43,ZI,ZI,zona incerta,E
night7,44,ZI,ZI,zona incerta,E
night7,45,ZI,ZI,zona incerta,E
night7,46,VMH,Ventromedial HT,ventromedial hypothalamus,I
night7,47,VMH,Ventromedial HT,ventromedial hypothalamus,I
night7,48,VMH,Ventromedial HT,ventromedial hypothalamus,E
night7,49,VMH,Ventromedial HT,ventromedial hypothalamus,E
night7,50,VMH,Ventromedial HT,ventromedial hypothalamus,I
night7,51,ZI,ZI,zona incerta,I
night7,52,ZI,ZI,zona incerta,I
night7,53,ZI,ZI,zona incerta,E
night7,54,DMH,DMH,dorsomedial hypothalamus,I
night7,55,ZI,ZI,zona incerta,E
night7,56,DMH,DMH,dorsomedial hypothalamus,I
night7,57,DMH,DMH,dorsomedial hypothalamus,E
night7,58,DMH,DMH,dorsomedial hypothalamus,E
night7,59,DMH,DMH,dorsomedial hypothalamus,I
night7,60,DMH,DMH,dorsomedial hypothalamus,I
night7,61,DMH,DMH,dorsomedial hypothalamus,I
night7,62,PH,PH,posterior hypothalamus,I
night7,63,PH,PH,posterior hypothalamus,E
night7,64,PH,PH,posterior hypothalamus,E
night7,65,DMH,DMH,dorsomedial hypothalamus,E
night7,66,DMH,DMH,dorsomedial hypothalamus,E
night7,67,DMH,DMH,dorsomedial hypothalamus,E
night7,68,DMH,DMH,dorsomedial hypothalamus,E
night7,69,DMH,DMH,dorsomedial hypothalamus,E
night7,70,ZI,ZI,zona incerta,E
night7,71,ZI,ZI,zona incerta,E
night7,72,ZI,ZI,zona incerta,E
night7,73,DMH,DMH,dorsomedial hypothalamus,E
night7,74,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night7,75,DMH,DMH,dorsomedial hypothalamus,E
night7,76,DMH,DMH,dorsomedial hypothalamus,E
night7,77,DMH,DMH,dorsomedial hypothalamus,E
night7,78,DMH,DMH,dorsomedial hypothalamus,E
night7,79,DMH,DMH,dorsomedial hypothalamus,E
day3,1,PH,PH,posterior hypothalamus,I
day3,2,MC,Mammillary Complex,mammillary complex,E
day3,3,MC,Mammillary Complex,mammillary complex,I
day3,4,MC,Mammillary Complex,mammillary complex,E
day3,5,MC,Mammillary Complex,mammillary complex,E
day3,6,MC,Mammillary Complex,mammillary complex,E
day3,7,PH,PH,posterior hypothalamus,E
day3,8,PH,PH,posterior hypothalamus,I
day3,9,MC,Mammillary Complex,mammillary complex,I
day3,10,MC,Mammillary Complex,mammillary complex,E
day3,11,PH,PH,posterior hypothalamus,I
day3,12,PH,PH,posterior hypothalamus,E
day3,13,MC,Mammillary Complex,mammillary complex,E
day3,14,MC,Mammillary Complex,mammillary complex,E
day3,15,MC,Mammillary Complex,mammillary complex,I
day3,16,PH,PH,posterior hypothalamus,I
day3,17,PH,PH,posterior hypothalamus,I
day3,18,MC,Mammillary Complex,mammillary complex,E
