animal,neuron_id,region6,region9,region_raw,allen_region,allen_acronym,AP_mm,ML_mm,DV_mm,ccf_ap_um,ccf_dv_um,ccf_ml_um,paxinos_region,ei,classifiable,pct_inh_animal
day1,75,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.196560691,4.002279181,6700,5002,5897,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,76,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.196560691,4.002279181,6700,5002,5897,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,77,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.212536323,3.911676867,6700,4912,5913,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,78,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.204548507,3.956978024,6700,4957,5905,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,79,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.204548507,3.956978024,6700,4957,5905,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,80,VM-thalamus,VM-thalamus,ventromedial thalamus,Rhomboid nucleus,RH,-1.1,0.26046322,3.639869927,6500,4640,5960,Rhomboid nucleus,unclassified,False,1.6
day1,81,VM-thalamus,VM-thalamus,ventromedial thalamus,Rhomboid nucleus,RH,-1.1,0.26046322,3.639869927,6500,4640,5960,Rhomboid nucleus,unclassified,False,1.6
day1,82,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.268451037,3.594568771,6500,4595,5968,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,83,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.272444945,3.571918192,6500,4572,5972,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,84,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.272444945,3.571918192,6500,4572,5972,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,85,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.268451037,3.594568771,6500,4595,5968,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,86,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.272444945,3.571918192,6500,4572,5972,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,87,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.268451037,3.594568771,6500,4595,5968,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,88,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.272444945,3.571918192,6500,4572,5972,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,89,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.308390118,3.368062988,6500,4368,6008,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,90,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.308390118,3.368062988,6500,4368,6008,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,91,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.292414485,3.458665301,6500,4459,5992,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,92,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.292414485,3.458665301,6500,4459,5992,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,93,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.292414485,3.458665301,6500,4459,5992,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,94,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.284426669,3.503966457,6500,4504,5984,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,95,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.188572875,4.047580337,6500,5048,5889,Nucleus reuniens (Re),unclassified,False,1.6
day1,96,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.188572875,4.047580337,6500,5048,5889,Nucleus reuniens (Re),unclassified,False,1.6
day1,97,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.196560691,4.002279181,6500,5002,5897,Nucleus reuniens (Re),unclassified,False,1.6
day1,98,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.1,0.204548507,3.956978024,6500,4957,5905,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,99,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.1,0.204548507,3.956978024,6500,4957,5905,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,100,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.280432761,3.526617036,6500,4527,5980,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,101,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.280432761,3.526617036,6500,4527,5980,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,102,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.280432761,3.526617036,6500,4527,5980,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,103,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.280432761,3.526617036,6500,4527,5980,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,104,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.280432761,3.526617036,6500,4527,5980,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,105,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.296408393,3.436014723,6500,4436,5996,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,106,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.296408393,3.436014723,6500,4436,5996,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,107,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.296408393,3.436014723,6500,4436,5996,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,108,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.304396209,3.390713566,6500,4391,6004,Central medial thalamic nucleus (CM),unclassified,False,1.6
