animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei
day5,1,0.38000000000000006,1.1,True,1.0,E
day5,2,0.31507936507936485,0.55,True,2.0,E
day5,3,0.33937500000000004,0.65,True,5.0,E
day5,4,0.36493055555555576,0.55,True,5.0,E
day5,5,0.22546992481203,0.4,True,3.0,E
day5,6,0.13107822410147987,0.35,True,0.0,I
day5,7,0.22715909090909092,0.3,True,3.0,E
day5,8,0.4050000000000001,0.65,True,5.0,E
day5,9,0.251011904761905,0.45,True,2.0,E
day5,10,0.4166666666666668,0.7,True,5.0,E
day5,11,0.31875000000000003,0.55,True,2.0,E
day5,12,0.2994047619047617,0.5,True,2.0,E
day5,13,0.1669642857142858,0.25,True,3.0,E
day5,14,0.35454545454545466,0.65,True,5.0,E
day5,15,0.19199414715719065,0.5,True,3.0,E
day5,16,0.29040178571428577,0.55,True,2.0,E
day5,17,0.1941647597254004,0.35,True,3.0,E
day5,18,0.24538177339901462,0.5,True,2.0,E
day5,19,0.2808333333333333,0.55,True,2.0,E
day5,20,0.28205128205128216,0.5,True,2.0,E
day5,21,0.346875,0.7,True,5.0,E
day5,22,0.2,0.35,True,3.0,E
day5,23,0.27820512820512844,0.65,True,2.0,E
day5,24,0.29718614718614694,0.55,True,2.0,E
day5,25,0.2944711538461537,0.55,True,2.0,E
day5,26,0.095673076923077,0.3,True,0.0,I
day5,27,0.21833333333333335,0.95,True,1.0,E
day5,28,0.09417682926829266,0.2,True,0.0,I
day5,29,0.35,0.45,True,5.0,E
day5,30,0.12057986215163333,0.35,True,0.0,I
day5,31,0.12649225298450587,0.35,True,0.0,I
day5,32,0.3375,1.15,True,1.0,E
day5,33,0.2092838196286472,0.7,True,2.0,E
day5,34,0.45,0.7,True,5.0,E
day5,35,0.26058467741935476,0.8,True,2.0,E
day5,36,0.3,0.8,True,1.0,E
day5,37,0.2829670329670332,0.7,True,2.0,E
day5,38,0.29523809523809524,0.95,True,1.0,E
day5,39,0.1716864263691086,0.45,True,3.0,E
day5,40,0.2666666666666668,0.7,True,2.0,E
day5,41,0.1625,0.35,True,3.0,E
day5,42,0.15291666666666687,0.3,True,3.0,E
day5,43,0.17655502392344466,0.55,True,3.0,E
day5,44,0.33999999999999986,0.8,True,1.0,E
day5,45,0.2875,0.55,True,2.0,E
day5,46,0.25,0.5,True,2.0,E
day5,47,0.05,0.05,True,0.0,I
day5,48,0.4,0.4,True,5.0,E
day5,49,0.3045833333333331,0.45,True,2.0,E
day5,50,0.3041208791208792,0.65,True,2.0,E
day5,51,0.17299465240641682,0.4,True,3.0,E
day5,52,0.15785714285714256,0.35,True,3.0,E
