animal,condition,neuron_id,region,node_strength,clustering_coefficient,local_efficiency,hub_score,z_score,ei,spikes
day3,lightON,34,DMH,-1.756435,1.0,0.390868,-0.161452139926779,0.0192284865328781,I,2380
day3,lightON,35,DMH,0.0,0.0,0.0,-5.7474041713456495e-18,0.694391370293994,I,166
day3,lightON,36,MC,0.0,0.0,0.0,-5.7474041713456495e-18,0.694391370293994,I,2624
day3,lightON,37,PH,-2.763791,1.0,0.420039666666667,0.0200020766729041,-0.367993005827535,I,1615
day3,lightON,38,PH,-2.130723,0.666666666666667,0.379871437148731,0.0140513503361932,-0.124645534103912,E,3905
day3,lightON,39,PH,-2.598804,0.666666666666667,0.321031181978456,0.0544782839051088,-0.304573010949788,E,2203
day3,lightON,40,PH,-2.682618,0.666666666666667,0.321815729059869,0.0402741573593034,-0.336790600521594,I,1392
day3,lightON,41,MC,0.0,0.0,0.0,-5.7474041713456495e-18,0.694391370293994,I,81
day3,lightON,42,MC,0.0,0.0,0.0,-5.7474041713456495e-18,0.694391370293994,I,608
day3,lightON,43,ARH,-3.829905,0.321428571428571,0.338611302953619,1.0,-0.777800714429389,E,5399
day3,lightON,44,ARH,0.0,0.0,0.0,-5.7474041713456495e-18,0.694391370293994,E,12
day3,lightON,45,ARH,-1.170108,0.0,0.0,-0.0022974540644245,0.244609003401993,E,755
day3,lightON,46,ARH,-2.267024,1.0,0.472484,0.0242667489465482,-0.177038805827331,E,1008
day3,lightON,47,PH,0.0,0.0,0.0,-5.4093215730312e-18,0.694391370293994,I,1934
day3,ongoing,1,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,5777
day3,ongoing,2,MC,-4.634395,0.533333333333333,0.31943546330899,-0.0304165365519387,-0.996386326346078,E,21947
day3,ongoing,3,MC,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,7213
day3,ongoing,4,MC,-1.146991,1.0,0.371517,-0.326205696380832,0.225057913993639,E,26555
day3,ongoing,5,MC,-1.809833,1.0,0.349177,-0.0015322534102135,-0.0070988831985586,E,22886
day3,ongoing,6,MC,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,4221
day3,ongoing,7,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,3677
day3,ongoing,8,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,10706
day3,ongoing,9,MC,-5.839908,0.361111111111111,0.321629045511233,-0.145564834803501,-1.41861068306089,I,44127
day3,ongoing,10,MC,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,6636
day3,ongoing,11,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,12183
day3,ongoing,12,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,5006
day3,ongoing,13,MC,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,3311
day3,ongoing,14,MC,-4.298242,0.533333333333333,0.355931979879398,-0.0423644078582325,-0.878650570545225,E,46412
day3,ongoing,15,MC,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,14273
day3,ongoing,16,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,2132
day3,ongoing,17,PH,-0.735627,0.0,0.0,3.56091367875898e-18,0.369135912551623,I,4828
day3,ongoing,18,MC,-2.719181,0.666666666666667,0.291528076803778,-0.173519179057188,-0.325593063128512,E,18168
day3,ongoing,19,MC,-1.295967,0.0,0.0,-0.0030576687588282,0.17287988209689,I,4407
day3,ongoing,20,MC,-4.740751,0.4,0.285579824879628,-0.0023359041801174,-1.03363693557448,I,31869
day3,ongoing,21,MC,-4.071296,0.666666666666667,0.325971359435438,-0.0285304377985978,-0.799163971181304,E,10763
day3,ongoing,22,PVH,-2.799279,0.666666666666667,0.329986648452289,-0.0960023020576557,-0.353646950995456,E,25527
day3,ongoing,23,PH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,6526
day3,ongoing,24,PVH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,4559
day3,ongoing,25,PVH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,3984
day3,ongoing,26,ARH,-3.761302,0.392857142857143,0.348475808259777,-0.248378295866054,-0.690590262531583,I,55380
day3,ongoing,27,ARH,-0.375275,0.5,0.289365407429052,-0.0017950199010311,0.495347236188029,E,49064
day3,ongoing,28,ARH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,I,17055
day3,ongoing,29,PVH,-3.833673,0.5,0.259970996946052,-0.0538347410494687,-0.715937810770223,I,10916
day3,ongoing,30,MC,-16.602097,0.110769230769231,0.252470935435717,-0.470882152820924,-5.18800871308478,I,183822
day3,ongoing,31,PH,-3.211518,0.833333333333333,0.51635059009771,-0.113241015595371,-0.498031413533609,E,28227
day3,ongoing,32,DMH,0.0,0.0,0.0,3.56091367875898e-18,0.626785259225649,E,16928
day3,ongoing,33,DMH,-3.483985,0.666666666666667,0.401921677670602,-0.0184582393173631,-0.593461495001842,I,25320
day3,ongoing,34,DMH,-1.182573,1.0,0.408348,-0.0012887003575626,0.212595512459499,I,24784
day3,ongoing,35,DMH,0.0,0.0,0.0,3.5558040174468795e-18,0.626785259225649,I,1835
day3,ongoing,36,MC,-0.469158,0.0,0.0,-0.0024508260531403,0.462465227216366,I,7383
day3,ongoing,37,PH,-0.717918,0.0,0.0,-0.0019132676950341,0.375338393265695,I,16318
day3,ongoing,38,PH,-3.761644,0.4,0.280442854715081,-0.0261794012736506,-0.690710046167261,E,26462
day3,ongoing,39,PH,-0.725738,0.0,0.0,-0.0018341520014409,0.372599480894356,E,20497
day3,ongoing,40,PH,-1.758426,1.0,0.363859,3.5558040174468795e-18,0.0109061383197811,I,10113
day3,ongoing,41,MC,0.0,0.0,0.0,3.5558040174468795e-18,0.626785259225649,I,4143
day3,ongoing,42,MC,0.0,0.0,0.0,3.5558040174468795e-18,0.626785259225649,I,5302
day3,ongoing,43,ARH,-0.46852,0.571428571428571,0.368919911660451,1.0,0.462688683238478,E,74743
day3,ongoing,44,ARH,0.0,0.0,0.0,3.5558040174468795e-18,0.626785259225649,E,5573
day3,ongoing,45,ARH,-0.396071,0.0,0.0,-0.0020690281860126,0.488063550551921,E,7817
day3,ongoing,46,ARH,-4.489189,0.4,0.237210346099558,-0.627272134939446,-0.945528716398171,E,11181
day3,ongoing,47,PH,-4.780981,0.4,0.250300882707038,-0.0569369376667055,-1.04772727377128,I,13843
day4,lightON,1,VMH,-5.00981,0.6,0.426422779861921,0.0700980186148779,-0.324183665189806,I,2199
day4,lightON,2,VMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,E,528
day4,lightON,3,DMH,-1.309636,0.0,0.0,2.84787251346949e-18,0.584591167016904,I,691
day4,lightON,4,VM-thalamus,-7.515477,0.422222222222222,0.401051174105949,0.133591810074275,-0.93958367272753,I,5092
day4,lightON,5,VM-thalamus,-0.913105,0.0,0.0,-0.0489822303404705,0.681980477084419,I,934
day4,lightON,6,VM-thalamus,-4.656698,0.333333333333333,0.190906924815773,-0.192814652407529,-0.237458203481741,I,1918
day4,lightON,7,VM-thalamus,-2.725747,0.666666666666667,0.652749730903357,0.0136219076799976,0.236789675408381,I,1420
day4,lightON,8,VM-thalamus,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,E,2
day4,lightON,9,VMH,-4.00137,0.6,0.362058496761624,-0.0696473252417449,-0.0765075040712922,I,3103
day4,lightON,10,VMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,I,17
day4,lightON,11,VMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,I,133
day4,lightON,12,VMH,-3.059885,0.333333333333333,0.507670025763171,0.001601219833704,0.15472429013626,E,1995
day4,lightON,13,DMH,-1.007554,0.0,0.0,2.84787251346949e-18,0.658783493881172,E,702
day4,lightON,14,DMH,-6.290276,0.7,0.638530229705987,-0.0398808832804415,-0.638670301303782,E,2999
day4,lightON,15,DMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,I,704
day4,lightON,16,DMH,-2.590059,0.833333333333333,0.45838591681283,0.0698107644092704,0.270115091843517,I,1903
day4,lightON,17,DMH,-5.864255,0.428571428571429,0.295262313499992,0.0479908551529882,-0.534038150818012,I,2852
day4,lightON,18,DMH,-5.906511,0.6,0.444927086350863,-0.203269025714451,-0.544416362575007,E,1428
day4,lightON,19,DMH,-5.241425,0.6,0.522157387683053,-0.0974887183072842,-0.381069066460545,I,1944
