"animal","day_night","neuron_id","region","strength","betweenness","eigenvector","pagerank"
"night7","N",40,"PH",142.584861,154,0.300689929540188,0.00919632860629716
"night7","N",41,"ARH",126.304731,0,0.25067590170109,0.00847120534973199
"night7","N",42,"PH",115.696852,0,0.257661276451223,0.00778253494025894
"night7","N",43,"ZI",275.76252,0,0.69371019837655,0.0150955603796841
"night7","N",44,"ZI",150.808586,0,0.355710387978824,0.00928509844523722
"night7","N",45,"ZI",199.198497,0,0.492363512519935,0.0117030215979634
"night7","N",46,"VMH",173.212109,0,0.42003715527308,0.0104766500876614
"night7","N",47,"VMH",224.610292,4,0.577638997901175,0.0128734617087665
"night7","N",48,"VMH",126.749601,0,0.237753586420376,0.00838429712699282
"night7","N",49,"VMH",157.77359,0,0.375268105396488,0.00967172139048128
"night7","N",50,"VMH",127.128025,0,0.25454525824701,0.00859310995977174
"night7","N",51,"ZI",387.275617,10,0.872442660934625,0.0196850691551297
"night7","N",52,"ZI",148.715946,0,0.353011530984076,0.00932791576353869
"night7","N",53,"ZI",145.901741,0,0.308002954856069,0.00942106541708474
"night7","N",54,"DMH",191.476997,0,0.473405109744297,0.0111012388790702
"night7","N",55,"ZI",300.339853,600,0.748895744251666,0.0163533565124092
"night7","N",56,"DMH",276.083937,0,0.695390858888333,0.0149573482240477
"night7","N",57,"DMH",142.028883,0,0.295781044682544,0.00899542370896209
"night7","N",58,"DMH",136.842772,0,0.28212424266866,0.00890631118643513
"night7","N",59,"DMH",165.202656,0,0.399005539355058,0.00998109610531327
"night7","N",60,"DMH",123.451817,0,0.272645739461243,0.00804026515566619
"night7","N",61,"DMH",247.195975,0,0.622748540745848,0.0143945844223239
"night7","N",62,"PH",274.065743,0,0.689047675960338,0.014998283105956
"night7","N",63,"PH",150.617919,0,0.355211392599035,0.00926503758541656
"night7","N",64,"PH",199.2648,0,0.492145319146319,0.0117007589048721
"night7","N",65,"DMH",172.884015,0,0.419110361727947,0.0104461538357198
"night7","N",66,"DMH",123.277869,0,0.277304151901981,0.00793959902049451
"night7","N",67,"DMH",219.341051,0,0.562534300443222,0.0126497503374885
"night7","N",68,"DMH",157.77359,0,0.375268105396488,0.00967172139048128
"night7","N",69,"DMH",127.128025,0,0.25454525824701,0.00859310995977173
"night7","N",70,"ZI",387.275617,10,0.872442660934625,0.0196850691551297
"night7","N",71,"ZI",148.416748,0,0.352143464749526,0.00931498352559612
"night7","N",72,"ZI",145.621282,0,0.307271068976733,0.00940222379707155
"night7","N",73,"DMH",184.892253,0,0.457688778693515,0.0107954700960091
"night7","N",74,"VM-thalamus",292.063168,6,0.738208148315077,0.0158805897681465
"night7","N",75,"DMH",246.795461,0,0.621561723762325,0.0136132389198101
"night7","N",76,"DMH",140.004103,0,0.306450979870383,0.00832751576988625
"night7","N",77,"DMH",136.842772,0,0.28212424266866,0.00890631118643514
