"animal","day_night","neuron_id","region","community"
"day5","D",27,"MC",2
"day5","D",28,"MC",2
"day5","D",29,"MC",1
"day5","D",30,"MC",2
"day5","D",31,"MC",2
"day5","D",32,"PVH",2
"day5","D",33,"PVH",2
"day5","D",34,"PVH",2
"day5","D",35,"PVH",1
"day5","D",36,"PVH",2
"day5","D",37,"PVH",2
"day5","D",38,"PVH",2
"day5","D",39,"PVH",3
"day5","D",40,"PVH",2
"day5","D",41,"PVH",2
"day5","D",42,"PVH",3
"day5","D",43,"PVH",2
"day5","D",44,"PVH",1
"day5","D",45,"PVH",2
"day5","D",46,"PVH",1
"day5","D",47,"PVH",2
"day5","D",48,"PVH",1
"day5","D",49,"PVH",1
"day5","D",50,"PVH",3
"day5","D",51,"MC",1
"day5","D",52,"MC",3
"day5","D",53,"MC",1
"day5","D",54,"MC",3
"day5","D",55,"MC",3
"day5","D",56,"MC",1
"day5","D",57,"MC",2
"day5","D",58,"MC",3
"day5","D",59,"MC",3
"day5","D",60,"MC",2
"day5","D",61,"MC",2
"day5","D",62,"MC",1
"day5","D",63,"MC",1
"day5","D",64,"PH",3
"day5","D",65,"PH",1
"day5","D",66,"PH",1
"day5","D",67,"PH",2
"day5","D",68,"PH",3
"day5","D",69,"PH",3
"day5","D",70,"PH",2
"day5","D",71,"PH",3
"day6","D",1,"VMH",1
"day6","D",2,"VMH",1
"day6","D",3,"VMH",1
"day6","D",4,"VMH",1
"day6","D",5,"MC",1
"day6","D",6,"DMH",2
"day6","D",7,"DMH",2
"day6","D",8,"DMH",2
"day6","D",9,"DMH",1
"day6","D",10,"DMH",2
"day6","D",11,"PH",1
"day6","D",12,"PH",1
"day6","D",13,"PH",1
"day6","D",14,"PH",2
"day6","D",15,"PH",2
"day6","D",16,"PH",1
"day6","D",17,"PH",2
"day6","D",18,"DMH",2
"day6","D",19,"DMH",1
"day6","D",20,"DMH",1
"day6","D",21,"PH",1
"day6","D",22,"PH",1
"day6","D",23,"PH",1
"day6","D",24,"PH",2
"day6","D",25,"PH",1
"day6","D",26,"DMH",2
"day6","D",27,"DMH",1
"day6","D",28,"DMH",2
"day6","D",29,"DMH",2
"day6","D",30,"DMH",1
"day6","D",31,"DMH",1
"day6","D",32,"DMH",1
"day6","D",33,"DMH",1
"day6","D",34,"DMH",3
"day6","D",35,"DMH",3
"day6","D",36,"DMH",1
"day6","D",37,"MC",2
"day6","D",38,"MC",2
"day6","D",39,"MC",1
"day6","D",40,"MC",2
"day6","D",41,"MC",1
"day6","D",42,"MC",1
"day6","D",43,"MC",1
"day6","D",44,"MC",2
"day6","D",45,"MC",3
"day6","D",46,"MC",2
"day6","D",47,"MC",3
"day6","D",48,"MC",1
"day6","D",49,"MC",2
"day6","D",50,"MC",3
"day6","D",51,"PH",1
"day6","D",52,"PH",2
"day6","D",53,"PH",2
"day6","D",54,"PH",1
"day6","D",55,"PH",1
"day6","D",56,"PH",1
